id,flights,city,country
1,1786,London,UK
2,1611,Atlanta,US
3,1216,Chicago,US
4,935,Beijing,China
5,926,Paris,France
6,1308,New York,US
7,900,Dallas-Fort Worth,US
8,788,Los Angeles,US
9,699,Washington,US
10,670,Shanghai,China
11,609,Miami,US
12,598,Istanbul,Others
13,586,Charlotte,US
14,585,Amsterdam,Others
15,580,Houston,US
16,576,Frankfurt,Germany
17,552,Philadelphia,US
18,544,Denver,US
19,518,Moscow,Others
20,513,Guangzhou,China
21,501,Rome,Italy
22,474,Phoenix,US
23,471,Munich,Germany
24,470,Tokyo,Others
25,420,Barcelona,Spain
26,417,Berlin,Germany
27,410,Madrid,Spain
28,398,Toronto,Others
29,389,Chengdu,China
30,386,Detroit,US
31,382,San Francisco,US
32,372,Duesseldorf,Germany
33,368,Minneapolis,US
34,367,Shenzhen,China
35,365,Seattle,US
36,357,Stockholm,Others
37,343,Copenhagen,Others
38,337,Xi'an,China
39,332,Palma de Mallorca,Spain
40,327,Orlando,US
41,308,Las Vegas,US
42,308,Kunming,China
43,302,Manchester,UK
44,296,Oslo,Others
45,278,Hangzhou,China
46,278,Malaga,Spain
47,272,Salt Lake City,US
48,271,Mexico City,Others
49,269,Baltimore,US
50,252,Boston,US
51,238,Wuhan,China
52,236,Dublin,Others
53,234,Brussels,Others
54,234,Alicante,Spain
55,232,Chongqing,China
56,227,Hamburg,Germany
57,226,Portland,US
58,224,Montreal,Others
59,222,Xiamen,China
60,218,Tampa,US
61,212,Nanjing,China
62,208,Zhengzhou,China
63,203,Cologne,Germany
64,202,Qingdao,China
65,202,Milano,Italy
66,201,San Diego,US
67,199,New Orleans,US
68,198,Changcha,China
69,198,Urumqi,China
70,191,St. Louis,US
71,190,Seoul,Others
72,189,Tenerife,Spain
73,187,Dalian,China
74,183,Vancouver,Others
75,176,St. Petersburg,Others
76,174,Shenyang,China
77,174,Stuttgart,Germany
78,173,Edinburgh,UK
79,172,Fort Lauderdale,US
80,170,Vienna,Others
81,167,Nice,France
82,163,Geneva,Others
83,160,Hong Kong,Others
84,159,Sydney,Others
85,157,Marseille,France
86,156,Harbin,China
87,154,Nashville,US
88,153,Cleveland,US
89,153,Raleigh-durham,US
90,152,BRISTOL,UK
91,150,Charleroi,Others
92,150,Osaka,Others
93,149,Kansas City,US
94,149,Bangkok,Others
95,148,Taipei,Others
96,146,Ibiza,Spain
97,144,Taiyuan,China
98,143,Austin,US
99,142,Pittsburgh,US
100,142,Lisbon,Others
101,142,Gran Canaria,Spain
102,141,Cancun,Others
103,141,Zurich,Others
104,140,Abu Dhabi,Others
105,140,Guiyang,China
106,137,Venice,Italy
107,136,Jinan,China
108,134,Cincinnati,US
109,134,Nanning,China
110,134,Mulhouse,France
111,133,Faro,Others
112,133,Lyon,France
113,130,Columbus,US
114,130,Indianapolis,US
115,130,Calgary,Others
116,128,Fuzhou,China
117,128,Pisa,Italy
118,127,Honolulu,US
119,126,Bergamo,Italy
120,124,San Antonio,US
121,123,Milwaukee,US
122,120,Haikou,China
123,120,Catania,Italy
124,119,Helsinki,Others
125,118,Bologna,Italy
126,116,Tianjin,China
127,115,Singapore,Others
128,112,Porto,Others
129,111,Birmingham,UK
130,110,Nanchang,China
131,110,Liverpool,UK
132,109,Brisbane,Others
133,108,San Jose,US
134,108,Warsaw,Others
135,107,Guilin,China
136,107,Arrecife,Spain
137,107,Valencia,Spain
138,106,Malta,Others
139,106,Sanya,China
140,103,Athens,Others
141,102,Dubai,Others
142,101,East Midlands,UK
143,100,Hohhot,China
144,99,Memphis,US
145,98,Sacramento,US
146,98,Wenzhou,China
