All,SourceCountry,SourceCity,SourceAirport,DestCountry,DestCity,DestAirport,AirlineName,Sum of Flights
All Countries,China,Others,Others,China,Others,Shenzhen Bao'an International Airport,Shenzhen Airlines,39
All Countries,China,Others,Others,China,Others,Shenzhen Bao'an International Airport,Air China,37
All Countries,China,Others,Others,China,Others,Shenzhen Bao'an International Airport,China Southern Airlines,36
All Countries,China,Others,Others,China,Others,Shenzhen Bao'an International Airport,Hainan Airlines,18
All Countries,China,Others,Others,China,Others,Shenzhen Bao'an International Airport,China Eastern Airlines,8
All Countries,China,Others,Others,China,Others,Shenzhen Bao'an International Airport,All Nippon Airways,1
All Countries,China,Others,Others,China,Others,Chengdu Shuangliu International Airport,Shenzhen Airlines,50
All Countries,China,Others,Others,China,Others,Chengdu Shuangliu International Airport,Air China,50
All Countries,China,Others,Others,China,Others,Chengdu Shuangliu International Airport,China Eastern Airlines,19
All Countries,China,Others,Others,China,Others,Chengdu Shuangliu International Airport,China Southern Airlines,15
All Countries,China,Others,Others,China,Others,Chengdu Shuangliu International Airport,Hainan Airlines,3
All Countries,China,Others,Others,China,Others,Chengdu Shuangliu International Airport,KLM Royal Dutch Airlines,2
All Countries,China,Others,Others,China,Others,Xi'an Xianyang International Airport,China Eastern Airlines,40
All Countries,China,Others,Others,China,Others,Xi'an Xianyang International Airport,China Southern Airlines,26
All Countries,China,Others,Others,China,Others,Xi'an Xianyang International Airport,Air China,21
All Countries,China,Others,Others,China,Others,Xi'an Xianyang International Airport,Shenzhen Airlines,19
All Countries,China,Others,Others,China,Others,Xi'an Xianyang International Airport,Hainan Airlines,18
All Countries,China,Others,Others,China,Others,Xi'an Xianyang International Airport,KLM Royal Dutch Airlines,1
All Countries,China,Others,Others,China,Others,Kunming Changshui International Airport,China Eastern Airlines,44
All Countries,China,Others,Others,China,Others,Kunming Changshui International Airport,China Southern Airlines,27
All Countries,China,Others,Others,China,Others,Kunming Changshui International Airport,Shenzhen Airlines,16
All Countries,China,Others,Others,China,Others,Kunming Changshui International Airport,Air China,13
All Countries,China,Others,Others,China,Others,Kunming Changshui International Airport,Hainan Airlines,1
All Countries,China,Others,Others,China,Others,Kunming Changshui International Airport,Air France,1
All Countries,China,Others,Others,China,Others,Hangzhou Xiaoshan International Airport,China Southern Airlines,27
All Countries,China,Others,Others,China,Others,Hangzhou Xiaoshan International Airport,Air China,20
All Countries,China,Others,Others,China,Others,Hangzhou Xiaoshan International Airport,Shenzhen Airlines,16
All Countries,China,Others,Others,China,Others,Hangzhou Xiaoshan International Airport,China Eastern Airlines,10
All Countries,China,Others,Others,China,Others,Hangzhou Xiaoshan International Airport,Hainan Airlines,10
