id,flights,city,country
1,1438,Atlanta,United States
2,1153,London,United Kingdom
3,6,London,Canada
4,840,Chicago,United States
5,806,Paris,France
6,771,Dallas-Fort Worth,United States
7,753,New York,United States
8,727,Beijing,China
9,604,Shanghai,China
10,574,Charlotte,United States
11,550,Istanbul,Turkey
12,547,Amsterdam,Netherlands
13,539,Miami,United States
14,532,Philadelphia,United States
15,497,Los Angeles,United States
16,478,Frankfurt,Germany
17,446,Phoenix,United States
18,455,Guangzhou,China
19,448,Rome,Italy
20,446,Washington,United States
21,404,Munich,Germany
22,364,Madrid,Spain
23,365,Barcelona,Spain
24,360,Detroit,United States
25,353,Chengdu,China
26,346,Toronto,Canada
27,341,Minneapolis,United States
28,316,Shenzhen,China
29,290,Kunming,China
30,290,Berlin,Germany
31,285,Xi'an,China
32,281,Orlando,United States
33,270,Las Vegas,United States
34,264,Duesseldorf,Germany
35,255,Denver,United States
36,260,Palma de Mallorca,Spain
37,251,Baltimore,United States
38,243,Hangzhou,China
39,242,Salt Lake City,United States
40,241,Houston,United States
41,220,Wuhan,China
42,212,Malaga,Spain
43,202,Dublin,Ireland
44,200,Chongqing,China
45,198,Xiamen,China
46,196,Boston,United States
47,194,Montreal,Canada
48,194,Nanjing,China
49,192,Seattle,United States
50,189,Tampa,United States
51,186,Manchester,United Kingdom
52,180,Zhengzhou,China
53,180,Qingdao,China
54,178,Tokyo,Japan
55,172,Milano,Italy
56,168,Changcha,China
57,165,San Francisco,United States
58,162,Urumqi,China
59,169,St. Louis,United States
60,161,Brussels,Belgium
61,160,New Orleans,United States
62,156,Shenyang,China
63,154,Alicante,Spain
64,153,Dalian,China
65,153,Vancouver,Canada
66,153,Marseille,France
67,150,Charleroi,Belgium
68,148,Newark,United States
69,145,Tenerife,Spain
70,144,Edinburgh,United Kingdom
71,141,San Diego,United States
72,130,Bristol,United Kingdom
73,10,Bristol,United States
74,119,Portland,United States
75,137,Nashville,United States
76,134,Vienna,Austria
77,133,Raleigh-durham,United States
78,135,Geneva,Switzerland
79,134,Harbin,China
80,132,Seoul,South Korea
81,130,Fort Lauderdale,United States
82,119,Lisbon,Portugal
83,126,Mulhouse,France
84,126,Nanning,China
85,131,Kansas City,United States
86,126,Guiyang,China
87,126,Bergamo,Italy
88,125,Nice,France
89,122,Taiyuan,China
90,122,Pittsburgh,United States
91,122,Jinan,China
92,121,Hamburg,Germany
93,120,Cincinnati,United States
94,119,Austin,United States
95,60,Birmingham,United Kingdom
96,59,Birmingham,United States
97,116,Ibiza,Spain
98,114,Taipei,Taiwan
99,114,Pisa,Italy
100,112,Columbus,United States
101,73,San Jose,United States
102,38,San Jose,Costa Rica
103,111,Lyon,France
104,113,Abu Dhabi,United Arab Emirates
105,114,Calgary,Canada
106,110,Liverpool,United Kingdom
107,110,Indianapolis,United States
108,112,Milwaukee,United States
109,106,Fuzhou,China
110,106,Bologna,Italy
111,104,San Antonio,United States
112,105,Valencia,Spain
113,104,Hong Kong,Hong Kong
114,102,Venice,Italy
115,102,Porto,Portugal
116,102,Gran Canaria,Spain
117,100,Tianjin,China
118,99,Zurich,Switzerland
119,97,Guilin,China
120,96,Bangkok,Thailand
121,96,Nanchang,China
122,96,Faro,Portugal
123,94,Catania,Italy
124,92,Stockholm,Sweden
125,92,Mexico City,Mexico
126,92,Beauvais,France
127,90,Wenzhou,China
128,90,Malta,Malta
129,90,Hohhot,China
130,87,Changchun,China
131,88,Gerona,Spain
132,87,Arrecife,Spain
133,88,Copenhagen,Denmark
134,52,Santiago,Spain
135,28,Santiago,Chile
136,6,Santiago,Dominican Republic
137,85,Toulouse,France
138,86,Hahn,Germany
139,87,Cancun,Mexico
140,84,Wuxi,China
141,84,Warsaw,Poland
142,84,Sanya,China
143,87,Memphis,United States
144,81,Windsor Locks,United States
145,83,Sevilla,Spain
146,80,Fort Myers,United States
147,73,Athens,Greece
148,78,Moscow,Russia
149,78,Krakow,Poland
150,76,Weeze,Germany
151,73,Oakland,United States
152,76,Lanzhou,China
153,76,Hefei,China
154,75,Yinchuan,China
155,74,Stuttgart,Germany
156,73,Singapore,Singapore
157,74,Ninbo,China
158,74,Fuerteventura,Spain
159,74,East Midlands,United Kingdom
160,72,Zhuhai,China
161,73,Thessaloniki,Greece
162,72,Milan,Italy
163,72,Haikou,China
164,65,Charleston,United States
165,70,Rygge,Norway
166,69,San Juan,Puerto Rico
167,70,Marrakech,Morocco
168,69,Louisville,United States
169,70,Honolulu,United States
170,70,Sacramento,United States
171,68,Yantai,China
172,68,Naples,Italy
173,64,Norfolk,United States
174,66,Bordeaux,France
175,66,Bremen,Germany
176,62,Santa Ana,United States
177,64,Nantes,France
178,65,Nairobi,Kenya
179,64,Eindhoven,Netherlands
180,67,Dallas,United States
181,64,Cagliari,Italy
182,64,Ankara,Turkey
183,65,Bilbao,Spain
184,63,Jacksonville,United States
185,63,Albuquerque,United States
186,62,Bari,Italy
187,59,Oklahoma City,United States
188,61,Nuernberg,Germany
189,60,Budapest,Hungary
190,58,Treviso,Italy
191,56,Sydney,Australia
192,4,Sydney,Canada
193,58,Palermo,Italy
194,58,Alghero,Italy
195,58,Changzhou,China
196,57,Tel-aviv,Israel
197,54,Sao Paulo,Brazil
198,55,Prague,Czech Republic
199,56,Richmond,United States
200,56,Rochester,United States
201,56,Omaha,United States
202,55,Edmonton,Canada
203,56,Chania,Greece
204,56,Cologne,Germany
205,57,Buffalo,United States
206,54,Trapani,Italy
207,54,Dayton,United States
208,52,Yuncheng,China
209,51,Xining,China
210,52,Shijiazhuang,China
211,53,Ottawa,Canada
212,52,Osaka,Japan
213,49,Halifax,Canada
214,52,Gothenborg,Sweden
215,52,Leeds,United Kingdom
216,53,Cleveland,United States
217,51,Torino,Italy
218,50,Kerkyra/corfu,Greece
219,46,Florence,Italy
220,4,Florence,United States
221,50,Billund,Denmark
222,48,West Palm Beach,United States
223,48,Quanzhou,China
224,48,Little Rock,United States
225,48,Glasgow,United Kingdom
226,50,Albany,United States
227,46,Tucson,United States
228,45,Providence,United States
229,47,Punta Cana,Dominican Republic
230,46,Macau,Macau
231,46,Riga,Latvia
232,45,Helsinki,Finland
233,46,Kuala Lumpur,Malaysia
234,47,Lijiang,China
235,46,Heraklion,Greece
236,46,Belfast,United Kingdom
237,44,Shantou,China
238,44,Antalya,Turkey
239,43,Bucharest,Romania
240,41,Tulsa,United States
241,28,Panama City,Panama
242,14,Panama City,United States
243,44,Montego Bay,Jamaica
244,42,Prestwick,United Kingdom
245,40,Reno,United States
246,42,Greenville,United States
247,29,Auckland,New Zealand
248,42,Akron,United States
249,40,Wroclaw,Poland
250,40,Newcastle,United Kingdom
251,41,El Paso,United States
252,38,Shannon,Ireland
253,30,Melbourne,Australia
254,10,Melbourne,United States
255,36,Ontario,United States
256,38,Nassau,Bahamas
257,38,Kaunas,Lithuania
258,38,Knoxville,United States
259,39,Des Moines,United States
260,36,Syracuse,United States
261,36,Santander,Spain
262,36,Vilnius,Lithuania
263,36,Manchester NH,United States
264,36,Olbia,Italy
265,34,Nagoya,Japan
266,36,Rhodos,Greece
267,35,Greensboro,United States
268,36,Grand Rapids,United States
269,36,Hannover,Germany
270,36,Brindisi,Italy
271,36,Columbia,United States
272,34,Guadalajara,Mexico
273,34,Karlsruhe/Baden-Baden,Germany
274,34,Baotou,China
275,33,San Jose Del Cabo,Mexico
276,32,Yangzhou,China
277,32,Zadar,Croatia
278,31,Kos,Greece
279,32,Lamezia,Italy
280,32,Lima,Peru
281,31,Johannesburg,South Africa
282,32,Amman,Jordan
283,32,Brisbane,Australia
284,32,Bournemouth,United Kingdom
285,32,Bratislava,Slovakia
286,32,Bentonville,United States
287,30,Salzburg,Austria
288,30,Savannah,United States
289,30,Memmingen,Germany
290,30,Oranjestad,Aruba
291,32,Rio De Janeiro,Brazil
292,30,Paphos,Cyprus
293,30,Leipzig,Germany
294,30,Jackson,United States
295,30,Ajaccio,France
296,30,Bastia,France
297,28,Bogota,Colombia
298,31,Buenos Aires,Argentina
299,28,Winnipeg,Canada
300,27,Santo Domingo,Dominican Republic
301,27,Sofia,Bulgaria
302,28,Yiwu,China
303,28,Wichita,United States
304,28,Kahului,United States
305,28,Fes,Morocco
306,29,Gdansk,Poland
307,28,Jingdezhen,China
308,28,Lhasa,China
309,31,Addis Ababa,Ethiopia
310,28,Casablanca,Morocco
311,28,Cork,Ireland
312,29,Dakar,Senegal
313,25,Yancheng,China
314,26,Wilmington,United States
315,26,Southend,United Kingdom
316,26,White Plains,United States
317,26,Murcia,Spain
318,26,Myrtle Beach,United States
319,26,Reus,Spain
320,26,Pensacola,United States
321,28,Puerto Vallarta,Mexico
322,26,Philipsburg,Netherlands Antilles
323,26,Madison,United States
324,26,Luxemburg,Luxembourg
325,26,Menorca,Spain
326,25,Oslo,Norway
327,26,Providenciales,Turks and Caicos Islands
328,26,Harrisburg,United States
329,27,Islip,United States
330,26,Kuwait,Kuwait
331,26,Lexington KY,United States
332,26,Huntsville,United States
333,26,Huangshan,China
334,26,Belgrade,Serbia
335,26,Douala,Cameroon
336,26,Dubai,United Arab Emirates
337,26,Chattanooga,United States
338,24,Montpellier,France
339,24,Port-au-prince,Haiti
340,24,Monterrey,Mexico
341,25,Larnaca,Cyprus
342,24,Genoa,Italy
343,22,Guatemala City,Guatemala
344,20,Harare,Zimbabwe
345,25,Delhi,India
346,24,Connaught,Ireland
347,24,Dortmund,Germany
348,24,Charlottesville VA,United States
349,24,Dresden,Germany
350,24,Beihai,China
351,24,Dayong,China
352,24,Burbank,United States
353,22,Yanji,China
354,22,St. Petersburg,Russia
355,22,Strasbourg,France
356,22,Spokane,United States
357,22,Tallahassee,United States
358,23,San Salvador,El Salvador
359,22,Tirana,Albania
360,22,Ronchi De Legionari,Italy
